0   1   1
0.1   1.1   1.1
0.2   1.2   1.21
0.3   1.3   1.331
0.4   1.4   1.4641
0.5   1.5   1.61051
0.6   1.6   1.77156
0.7   1.7   1.94872
0.8   1.8   2.14359
0.9   1.9   2.35795
1   2   2.59374
1.1   2.1   2.85312
1.2   2.2   3.13843
1.3   2.3   3.45227
1.4   2.4   3.7975
1.5   2.5   4.17725
1.6   2.6   4.59497
1.7   2.7   5.05447
1.8   2.8   5.55992
1.9   2.9   6.11591
2   3   6.7275
2.1   3.1   7.40025
2.2   3.2   8.14027
2.3   3.3   8.9543
2.4   3.4   9.84973
2.5   3.5   10.8347
2.6   3.6   11.9182
2.7   3.7   13.11
2.8   3.8   14.421
2.9   3.9   15.8631
3   4   17.4494
3.1   4.1   19.1943
3.2   4.2   21.1138
3.3   4.3   23.2252
3.4   4.4   25.5477
3.5   4.5   28.1024
3.6   4.6   30.9127
3.7   4.7   34.0039
3.8   4.8   37.4043
3.9   4.9   41.1448
4   5   45.2593
4.1   5.1   49.7852
4.2   5.2   54.7637
4.3   5.3   60.2401
4.4   5.4   66.2641
4.5   5.5   72.8905
4.6   5.6   80.1795
4.7   5.7   88.1975
4.8   5.8   97.0172
4.9   5.9   106.719
5   6   117.391
5.1   6.1   129.13
5.2   6.2   142.043
5.3   6.3   156.247
5.4   6.4   171.872
5.5   6.5   189.059
5.6   6.6   207.965
5.7   6.7   228.762
5.8   6.8   251.638
5.9   6.9   276.801
6   7   304.482
6.1   7.1   334.93
6.2   7.2   368.423
6.3   7.3   405.265
6.4   7.4   445.792
6.5   7.5   490.371
6.6   7.6   539.408
6.7   7.7   593.349
6.8   7.8   652.683
6.9   7.9   717.952
7   8   789.747
7.1   8.1   868.722
7.2   8.2   955.594
7.3   8.3   1051.15
7.4   8.4   1156.27
7.5   8.5   1271.9
7.6   8.6   1399.08
7.7   8.7   1538.99
7.8   8.8   1692.89
7.9   8.9   1862.18
8   9   2048.4
8.1   9.1   2253.24
8.2   9.2   2478.56
8.3   9.3   2726.42
8.4   9.4   2999.06
8.5   9.5   3298.97
8.6   9.6   3628.87
8.7   9.7   3991.75
8.8   9.8   4390.93
8.9   9.9   4830.02
9   10   5313.02
9.1   10.1   5844.32
9.2   10.2   6428.76
9.3   10.3   7071.63
9.4   10.4   7778.8
9.5   10.5   8556.68
9.6   10.6   9412.34
9.7   10.7   10353.6
9.8   10.8   11388.9
9.9   10.9   12527.8
